gamma	var_type	data_type
1.31882128481	del	simulated
7.20222757463	del	simulated
26.7766678289	del	simulated
29.2272028094	del	simulated
2.29605811908	del	simulated
2.60867907566	del	simulated
25.2378805258	del	simulated
0.576564958153	del	simulated
1.10015358278	del	simulated
0.507846752245	del	simulated
0.00186330743491	del	simulated
254.966061828	del	simulated
3.92358503131	del	simulated
2.65945037524	del	simulated
2.15751027911	del	simulated
0.858154161469	del	simulated
37.7095656473	del	simulated
0.00979547661937	del	simulated
26.5618990559	del	simulated
10.1770651545	del	simulated
0.0661933347062	del	simulated
20.9545707095	del	simulated
0.379931122587	del	simulated
39.5578146759	del	simulated
28.2202100556	del	simulated
0.00655195092162	del	simulated
0.00295113593472	del	simulated
0.00951240671436	del	simulated
0.0414095187234	del	simulated
42.6371194836	del	simulated
3.50749712131	del	simulated
101.406907705	del	simulated
0.303634559201	del	simulated
0.000141732532979	del	simulated
78.5901060062	del	simulated
0.442308958746	del	simulated
0.599199131094	del	simulated
0.00122681882298	del	simulated
0.594106347678	del	simulated
14.9429764061	del	simulated
169.476587273	del	simulated
0.112039281926	del	simulated
1.7211353851	del	simulated
1.48840558104	del	simulated
0.0777755046048	del	simulated
2.75741201228	del	simulated
58.4507834271	del	simulated
0.798525511734	del	simulated
0.0102386796543	del	simulated
19.1753934704	del	simulated
18.1237206756	del	simulated
25.2066822482	del	simulated
30.1992203203	del	simulated
8.78894708956	del	simulated
0.0898459486715	del	simulated
0.00654444336717	del	simulated
0.357224650566	del	simulated
1.2487564343	del	simulated
0.867602038942	del	simulated
13.4880429238	del	simulated
0.692275881741	del	simulated
0.609087836531	del	simulated
9.41804123649	del	simulated
20.0054512595	del	simulated
0.155411897496	del	simulated
10.7604740947	del	simulated
10.5761914703	del	simulated
5.07749710316	del	simulated
5.77354116588	del	simulated
79.5501319522	del	simulated
31.5102705418	del	simulated
0.0826820865756	del	simulated
10.5029913324	del	simulated
0.757057992452	del	simulated
31.9259985077	del	simulated
10.3393479353	del	simulated
0.550428456746	del	simulated
1.50797836235	del	simulated
26.5895468125	del	simulated
0.652039149766	del	simulated
24.554268719	del	simulated
7.52520801196e-05	del	simulated
73.09822856	del	simulated
0.000318629807421	del	simulated
8.60655955234	del	simulated
6.68584772975	del	simulated
8.26298270802	del	simulated
13.555768982	del	simulated
0.574230492589	del	simulated
0.0331395735387	del	simulated
0.377666970472	del	simulated
0.534973191893	del	simulated
27.0413206317	del	simulated
3.68453052765	del	simulated
0.0939640342833	del	simulated
2.50717486846e-06	del	simulated
176.975116478	del	simulated
0.119282645597	del	simulated
8.41258652003	del	simulated
8.38085261933	del	simulated
0.000203390110352	del	simulated
18.2406812662	del	simulated
0.580038550623	del	simulated
0.15125805198	del	simulated
23.1438358425	del	simulated
0.579012029195	del	simulated
0.00721174745469	del	simulated
9.78327105327	del	simulated
3.70772122675	del	simulated
6.13920889988	del	simulated
1.61334493998	del	simulated
7.92103678277	del	simulated
55.102739143	del	simulated
12.3970978244	del	simulated
40.35189752	del	simulated
0.250943848785	del	simulated
1.00210051532	del	simulated
2.37079233744e-06	del	simulated
0.00085187117233	del	simulated
0.228777694204	del	simulated
0.435539576257	del	simulated
4.54948155058	del	simulated
0.462725770745	del	simulated
18.233519539	del	simulated
1.36618687777	del	simulated
0.440547708289	del	simulated
17.3862592374	del	simulated
2.07121805715	del	simulated
0.000581376094394	del	simulated
0.360617657841	del	simulated
24.3310851392	del	simulated
9.02687603425	del	simulated
1.2898668699	del	simulated
0.0044043428326	del	simulated
6.36784617173	del	simulated
0.825049566045	del	simulated
1.20387088088	del	simulated
3.42208813607	del	simulated
0.00344922003014	del	simulated
0.337673698395	del	simulated
0.346026344609	del	simulated
1.27661622701e-09	del	simulated
0.00137912497835	del	simulated
2.68153616071e-07	del	simulated
11.6545014627	del	simulated
82.2858738437	del	simulated
14.2733387425	del	simulated
9.86690556894	del	simulated
0.29184712384	del	simulated
0.0248655802394	del	simulated
0.305383554358	del	simulated
0.0163472524458	del	simulated
32.3226938015	del	simulated
0.377187378335	del	simulated
35.3306768279	del	simulated
8.94398270102	del	simulated
7.33061883222	del	simulated
0.000377887775992	del	simulated
2.40623494943	del	simulated
0.364162107618	del	simulated
6.9932418764e-06	del	simulated
9.25278801089	del	simulated
6.94687557627	del	simulated
8.34042447247	del	simulated
5.87522112001	del	simulated
1.74309941319	del	simulated
0.00730447228685	del	simulated
25.0036105182	del	simulated
2.02464817034	del	simulated
0.00751781533101	del	simulated
3.14568682416	del	simulated
0.00038604167537	del	simulated
1.7892873427	del	simulated
5.19224909803	del	simulated
0.0108367155481	del	simulated
1.30322927358	del	simulated
0.238650953521	del	simulated
0.0011232132925	del	simulated
53.9454153371	del	simulated
8.34863642593	del	simulated
12.2274484717	del	simulated
4.43851950132	del	simulated
2.80768121155	del	simulated
4.44795566906	del	simulated
0.0270471113247	del	simulated
26.6937929101	del	simulated
1.70495834611	del	simulated
0.00022647556369	del	simulated
